Latitude,Longitude,1_year average
47.25,256.5,797.21351279688
47.25,257.25,746.464117906255
47.25,258,742.107378937506
47.25,258.75,739.940025343755
47.25,259.5,725.516207234381
47.25,260.25,696.164384625006
47.25,261,693.436049593756
47.25,261.75,743.771991218756
47.25,262.5,793.121967171881
47.25,263.25,810.30638482813
47.25,264,767.193181000006
47.25,264.75,668.413461578131
47.25,265.5,631.868170218755
47.25,266.25,601.07295135938
47.25,267,548.412355093755
47.25,267.75,504.27236995313
47.25,268.5,467.383649750005
47.25,269.25,73.9649878125051
47.25,270,0
47.25,270.75,0
47.25,271.5,0
47.25,272.25,0
47.25,273,0
47.25,273.75,0
47.25,274.5,0
47.25,275.25,0
47.25,276,225.86844232813
47.25,276.75,203.46274904688
47.25,277.5,174.38430098438
47.25,278.25,227.38429885938
47.25,279,275.634411468755
47.25,279.75,325.960881718755
47.25,280.5,358.655558968755
47.25,281.25,325.96022314063
47.25,282,277.678465718755
47.25,282.75,235.737753937505
47.25,283.5,207.413246312505
47.25,284.25,192.118731281255
46.5,230.25,760.421326984381
46.5,231,775.068873406255
46.5,231.75,786.145480281256
46.5,232.5,798.670555937505
46.5,233.25,821.555268484381
46.5,234,803.119271000005
46.5,234.75,763.24015517188
46.5,235.5,751.12022473438
46.5,236.25,938.41671651563
46.5,237,906.36050164063
46.5,237.75,576.410656531255
46.5,238.5,465.53962329688
46.5,239.25,770.64514517188
46.5,240,1588.09530506251
46.5,240.75,1795.91175592188
46.5,241.5,1535.59585918751
46.5,242.25,1171.05780456251
46.5,243,915.890761453132
46.5,243.75,714.854888625005
46.5,244.5,379.513997843755
46.5,245.25,107.16154414063
46.5,246,0
46.5,246.75,0
46.5,247.5,0
46.5,248.25,67.7026387656304
46.5,249,103.92752457813
46.5,249.75,150.45033945313
46.5,250.5,461.434440187505
46.5,251.25,858.135410421881
46.5,252,1085.05265821876
46.5,252.75,1170.44517507813
46.5,253.5,1174.23452404688
46.5,254.25,1094.50723556251
46.5,255,1006.78610453126
46.5,255.75,927.383889390631
46.5,256.5,869.597275781256
46.5,257.25,850.104107046881
46.5,258,886.689466859381
46.5,258.75,903.423264593756
46.5,259.5,889.715075765632
46.5,260.25,851.066004687506
46.5,261,849.523809140631
46.5,261.75,908.881778687505
46.5,262.5,949.045578906255
46.5,263.25,936.442930312505
46.5,264,850.380692968755
46.5,264.75,809.604902125006
46.5,265.5,810.069414750005
46.5,266.25,813.932512765631
46.5,267,802.345531765631
46.5,267.75,794.096472812505
46.5,268.5,709.058901687506
46.5,269.25,500.80082967188
46.5,270,365.391076000005
46.5,270.75,536.448447375005
46.5,271.5,513.299665625005
46.5,272.25,482.84292357813
46.5,273,408.83001851563
46.5,273.75,283.33978445313
46.5,274.5,96.9067444843802
46.5,275.25,352.83236482813
46.5,276,431.53117679688
46.5,276.75,375.95569073438
46.5,277.5,305.95320842188
46.5,278.25,416.248646156255
46.5,279,496.397966281255
46.5,279.75,524.246906687505
46.5,280.5,505.59953829688
46.5,281.25,430.26524285938
46.5,282,404.79395585938
46.5,282.75,414.10539485938
46.5,283.5,441.16059139063
46.5,284.25,461.043362906255
45.75,230.25,816.003354218755
45.75,231,828.491678031256
45.75,231.75,839.410718953131
45.75,232.5,857.780638187505
45.75,233.25,857.876478625006
45.75,234,840.239795718755
45.75,234.75,789.102493718756
45.75,235.5,757.971147125005
45.75,236.25,978.014614609381
45.75,237,956.52912523438
45.75,237.75,696.95660976563
45.75,238.5,676.069593281255
45.75,239.25,1002.84093443751
45.75,240,1580.00060921876
45.75,240.75,1376.35888337501
45.75,241.5,979.829869015632
45.75,242.25,654.031004468755
45.75,243,513.88754751563
45.75,243.75,433.25600592188
45.75,244.5,173.928193375005
45.75,245.25,0
45.75,246,0
45.75,246.75,0
45.75,247.5,0
45.75,248.25,0
45.75,249,0
45.75,249.75,0
45.75,250.5,306.380797750005
45.75,251.25,770.937060093756
45.75,252,953.221087500006
45.75,252.75,1010.24284503126
45.75,253.5,1056.32174698438
45.75,254.25,1085.18563118751
45.75,255,1024.11191373438
45.75,255.75,964.228121062507
45.75,256.5,954.976140984381
45.75,257.25,980.424762937508
45.75,258,1031.92127225001
45.75,258.75,1057.15003704688
45.75,259.5,1049.53488851563
45.75,260.25,1017.01977906251
45.75,261,1007.04714279688
45.75,261.75,1033.39126243751
45.75,262.5,1024.01603981251
45.75,263.25,1012.43112934376
45.75,264,1000.44509912501
45.75,264.75,994.458457953132
45.75,265.5,998.349353187508
45.75,266.25,1028.55565657813
45.75,267,1024.21038465626
45.75,267.75,965.163794375007
45.75,268.5,854.17563492188
45.75,269.25,728.635540140631
45.75,270,624.377540250005
45.75,270.75,631.442193375005
45.75,271.5,672.36373195313
45.75,272.25,691.80718910938
45.75,273,643.41241573438
45.75,273.75,550.522478625005
45.75,274.5,516.814035062505
45.75,275.25,681.613437343755
45.75,276,576.623337687505
45.75,276.75,464.261678156255
45.75,277.5,389.875757968755
45.75,278.25,525.35439248438
45.75,279,580.635666312505
45.75,279.75,648.144686781255
45.75,280.5,608.26956882813
45.75,281.25,506.82243414063
45.75,282,521.95001676563
45.75,282.75,588.855881125005
45.75,283.5,676.91503810938
45.75,284.25,752.591687750005
45,230.25,875.816026812505
45,231,879.079488812506
45,231.75,878.636152421881
45,232.5,896.233330875007
45,233.25,881.003330609381
45,234,854.442961015631
45,234.75,786.953428250006
45,235.5,723.909583750005
45,236.25,1032.68678621876
45,237,997.340609046882
45,237.75,766.55430385938
45,238.5,750.502152250006
45,239.25,968.696864187506
45,240,1049.99298950001
45,240.75,664.093151750005
45,241.5,451.58372295313
45,242.25,420.72420773438
45,243,439.543880593755
45,243.75,235.847510187505
45,244.5,0
45,245.25,0
45,246,0
45,246.75,0
45,247.5,0
45,248.25,0
45,249,0
45,249.75,0
45,250.5,0
45,251.25,461.26765176563
45,252,532.44612326563
45,252.75,509.009047281255
45,253.5,667.43960160938
45,254.25,947.053568203132
45,255,950.002004125006
45,255.75,891.320009375006
45,256.5,995.396793125007
45,257.25,1126.01988746876
45,258,1204.29862367188
45,258.75,1208.66924296876
45,259.5,1197.77930687501
45,260.25,1184.19790159376
45,261,1176.30227206251
45,261.75,1151.93140137501
45,262.5,1058.36977006251
45,263.25,1040.64352356251
45,264,1088.41065865626
45,264.75,1123.57200592188
45,265.5,1134.15795057813
45,266.25,1174.33487026563
45,267,1173.79115984376
45,267.75,1113.36230284376
45,268.5,1035.77656090625
45,269.25,953.296417125005
45,270,847.720370968756
45,270.75,868.039024765631
45,271.5,897.937635421881
45,272.25,695.555533718756
45,273,623.569923015631
45,273.75,598.342424500005
45,274.5,634.414922718755
45,275.25,775.448851031255
45,276,837.822390593755
45,276.75,569.85944357813
45,277.5,471.89338435938
45,278.25,501.96417426563
45,279,565.81734817188
45,279.75,642.04705223438
45,280.5,741.757079750005
45,281.25,666.171498593755
45,282,708.03149760938
45,282.75,800.607628375005
45,283.5,912.354896484382
45,284.25,994.195178109382
44.25,230.25,923.815088125007
44.25,231,926.936757296882
44.25,231.75,923.263864453132
44.25,232.5,917.316567781256
44.25,233.25,896.471033078132
44.25,234,851.737027906257
44.25,234.75,737.80426517188
44.25,235.5,645.58203664063
44.25,236.25,1005.33571876563
44.25,237,938.395034906255
44.25,237.75,659.06206467188
44.25,238.5,532.30519923438
44.25,239.25,719.359721968755
44.25,240,688.970858796881
44.25,240.75,487.58011354688
44.25,241.5,549.79147435938
44.25,242.25,852.418389656256
44.25,243,1095.47964170313
44.25,243.75,644.629898437505
44.25,244.5,66.0081136250052
44.25,245.25,0
44.25,246,0
44.25,246.75,0
44.25,247.5,247.89268848438
44.25,248.25,49.0710788593802
44.25,249,0
44.25,249.75,0
44.25,250.5,0
44.25,251.25,304.66268676563
44.25,252,550.11221385938
44.25,252.75,281.112415843755
44.25,253.5,522.45606814063
44.25,254.25,911.105192593756
44.25,255,956.451521812506
44.25,255.75,855.406480875005
44.25,256.5,995.754613796881
44.25,257.25,1209.10465779688
44.25,258,1331.44542434376
44.25,258.75,1344.67426637501
44.25,259.5,1337.75049118751
44.25,260.25,1323.57188906251
44.25,261,1312.50551946876
44.25,261.75,1290.38764067188
44.25,262.5,1183.41087785938
44.25,263.25,1124.52242990626
44.25,264,1141.17730609376
44.25,264.75,1185.65584457813
44.25,265.5,1226.96241867188
44.25,266.25,1204.89086823438
44.25,267,1200.28427692188
44.25,267.75,1194.69998985938
44.25,268.5,1185.24151882813
44.25,269.25,1151.92203904688
44.25,270,1093.81684989063
44.25,270.75,1098.22189434376
44.25,271.5,1100.95736084376
44.25,272.25,1046.41526034376
44.25,273,734.781746531255
44.25,273.75,994.668295046883
44.25,274.5,952.957534609382
44.25,275.25,975.561805140632
44.25,276,977.933974203131
44.25,276.75,951.522787500006
44.25,277.5,641.34358023438
44.25,278.25,651.02381885938
44.25,279,810.097801421881
44.25,279.75,881.734496640631
44.25,280.5,958.815467343756
44.25,281.25,914.193489328131
44.25,282,889.913811140631
44.25,282.75,959.808081140632
44.25,283.5,1029.44980793751
44.25,284.25,1041.32235406251
43.5,230.25,981.902461078131
43.5,231,972.838204156257
43.5,231.75,953.38769010938
43.5,232.5,932.023813218757
43.5,233.25,902.627648906257
43.5,234,822.07568189063
43.5,234.75,693.186908218755
43.5,235.5,653.04389048438
43.5,236.25,967.63908392188
43.5,237,860.664231921881
